oid,typname,typnamespace,typowner,typlen,typbyval,typtype,typcategory,typispreferred,typisdefined,typdelim,typrelid,typsubscript,typelem,typarray,typinput,typoutput,typreceive,typsend,typmodin,typmodout,typanalyze,typalign,typstorage,typnotnull,typbasetype,typtypmod,typndims,typcollation,typdefaultbin,typdefault,typacl
1082,date,11,10,4,t,b,D,f,t,",",0,-,0,1182,date_in,date_out,date_recv,date_send,-,-,-,i,p,f,0,-1,0,0,,,
1114,timestamp,11,10,8,t,b,D,f,t,",",0,-,0,1115,timestamp_in,timestamp_out,timestamp_recv,timestamp_send,timestamptypmodin,timestamptypmodout,-,d,p,f,0,-1,0,0,,,
1115,_timestamp,11,10,-1,f,b,A,f,t,",",0,array_subscript_handler,1114,0,array_in,array_out,array_recv,array_send,timestamptypmodin,timestamptypmodout,array_typanalyze,d,x,f,0,-1,0,0,,,
1182,_date,11,10,-1,f,b,A,f,t,",",0,array_subscript_handler,1082,0,array_in,array_out,array_recv,array_send,-,-,array_typanalyze,i,x,f,0,-1,0,0,,,
1184,timestamptz,11,10,8,t,b,D,t,t,",",0,-,0,1185,timestamptz_in,timestamptz_out,timestamptz_recv,timestamptz_send,timestamptztypmodin,timestamptztypmodout,-,d,p,f,0,-1,0,0,,,
1185,_timestamptz,11,10,-1,f,b,A,f,t,",",0,array_subscript_handler,1184,0,array_in,array_out,array_recv,array_send,timestamptztypmodin,timestamptztypmodout,array_typanalyze,d,x,f,0,-1,0,0,,,
1231,_numeric,11,10,-1,f,b,A,f,t,",",0,array_subscript_handler,1700,0,array_in,array_out,array_recv,array_send,numerictypmodin,numerictypmodout,array_typanalyze,i,x,f,0,-1,0,0,,,
1700,numeric,11,10,-1,f,b,N,f,t,",",0,-,0,1231,numeric_in,numeric_out,numeric_recv,numeric_send,numerictypmodin,numerictypmodout,-,i,m,f,0,-1,0,0,,,
2950,uuid,11,10,16,f,b,U,f,t,",",0,-,0,2951,uuid_in,uuid_out,uuid_recv,uuid_send,-,-,-,c,p,f,0,-1,0,0,,,
2951,_uuid,11,10,-1,f,b,A,f,t,",",0,array_subscript_handler,2950,0,array_in,array_out,array_recv,array_send,-,-,array_typanalyze,i,x,f,0,-1,0,0,,,
